Tavinus Hardware ID Latest BIOS Fetcher v0.0.1
Processing HIDpermuted.txt, this could take a while...

AAA	> ITEM_20140707_21395_WIN_P10AAA.exe
AAB	> ITEM_20130312_862_WIN_P08AAB.exe
AAC	> ITEM_20131127_21276_WIN_P07AAC.exe
AAD	> FAIL (ignored) > 
AAE	> ITEM_20201230_21945_WIN_P07RFG.exe
AAF	> FAIL (ignored) > 
AAG	> ITEM_20200619_21927_WIN_P07OVC.exe
AAH	> ITEM_20130221_926_WIN_P10AAH.exe
AAI	> FAIL (ignored) > 
AAJ	> FAIL (ignored) > 
AAK	> FAIL (ignored) > 
AAL	> ITEM_20130801_11187_WIN_P10AAL.exe
AAM	> FAIL (ignored) > 
AAN	> ITEM_20130801_11186_WIN_P09AAN.exe
AAO	> ITEM_20130212_996_WIN_P03AAO.exe
AAP	> FAIL (ignored) > 
AAQ	> FAIL (ignored) > 
AAR	> FAIL (ignored) > 
AAS	> ITEM_20130321_522_WIN_P00AAS.exe
AAT	> ITEM_20140313_21332_WIN_P10AAT.exe
AAU	> FAIL (ignored) > 
AAV	> ITEM_20130423_1111_WIN_P10AAV.exe
AAW	> FAIL (ignored) > 
AAX	> ITEM_20130515_1130_WIN_P03AAX.exe
AAY	> ITEM_20130515_1131_WIN_P03AAY.exe
AAZ	> ITEM_20130909_11202_WIN_P05AAZ.exe
ABA	> ITEM_20140627_21389_WIN_P04ABA.exe
ABB	> FAIL (ignored) > 
ABC	> FAIL (ignored) > 
ABD	> FAIL (ignored) > 
ABE	> ITEM_20130801_11185_WIN_P09ABE.exe
ABF	> ITEM_20130801_11184_WIN_P07ABF.exe
ABG	> ITEM_20130307_1023_WIN_P05ABG.exe
ABH	> ITEM_20150810_21499_WIN_P13ABH.exe
ABI	> ITEM_20141028_21442_WIN_P09ABI.exe
ABJ	> ITEM_20131114_21267_WIN_P07ABJ.exe
ABK	> ITEM_20150902_21507_WIN_P11ABK.exe
ABL	> ITEM_20150810_21500_WIN_P13ABL.exe
ABM	> FAIL (ignored) > 
ABN	> FAIL (ignored) > 
ABO	> FAIL (ignored) > 
ABP	> ITEM_20130314_695_WIN_P03ABP.exe
ABQ	> FAIL (ignored) > 
ABR	> FAIL (ignored) > 
ABS	> ITEM_20130319_607_WIN_P00ABS.exe
ABT	> FAIL (ignored) > 
ABU	> ITEM_20140512_21364_WIN_P07ABU.exe
ABV	> ITEM_20140512_21362_WIN_P07ABV.exe
ABW	> ITEM_20140325_21340_WIN_P07ABW.exe
ABX	> FAIL (ignored) > 
ABY	> FAIL (ignored) > 
ABZ	> ITEM_20131114_21265_WIN_P04ABZ.exe
ACA	> FAIL (ignored) > 
ACB	> FAIL (ignored) > 
ACC	> FAIL (ignored) > 
ACD	> FAIL (ignored) > 
ACE	> FAIL (ignored) > 
ACF	> FAIL (ignored) > 
ACG	> FAIL (ignored) > 
ACH	> FAIL (ignored) > 
ACI	> FAIL (ignored) > 
ACJ	> ITEM_20140901_21421_WIN_P05ACJ.exe
ACK	> ITEM_20130726_1182_WIN_P00ACK.exe
ACL	> FAIL (ignored) > 
ACM	> ITEM_20140325_21341_WIN_P08ACM.exe
ACN	> FAIL (ignored) > 
ACO	> FAIL (ignored) > 
ACP	> FAIL (ignored) > 
ACQ	> FAIL (ignored) > 
ACR	> FAIL (ignored) > 
ACS	> FAIL (ignored) > 
ACT	> FAIL (ignored) > 
ACU	> FAIL (ignored) > 
ACV	> FAIL (ignored) > 
ACW	> FAIL (ignored) > 
ACX	> ITEM_20140312_21328_WIN_P03ACX.exe
ACY	> FAIL (ignored) > 
ACZ	> FAIL (ignored) > 
ADA	> FAIL (ignored) > 
ADB	> FAIL (ignored) > 
ADC	> ITEM_20140304_21325_WIN_P07ADC.exe
ADD	> FAIL (ignored) > 
ADE	> FAIL (ignored) > 
ADF	> ITEM_20140319_21333_WIN_P07ADF.exe
ADG	> ITEM_20140512_21363_WIN_P05ADG.exe
ADH	> ITEM_20140512_21365_WIN_P05ADH.exe
ADI	> FAIL (ignored) > 
ADJ	> FAIL (ignored) > 
ADK	> ITEM_20140313_21331_WIN_P03ADK.exe
ADL	> FAIL (ignored) > 
ADM	> FAIL (ignored) > 
ADN	> FAIL (ignored) > 
ADO	> ITEM_20140210_21308_WIN_P02ADO.exe
ADP	> ITEM_20130623_1153_WIN_P00ADP.exe
ADQ	> FAIL (ignored) > 
ADR	> FAIL (ignored) > 
ADS	> ITEM_20140210_21309_WIN_P01ADS.exe
ADT	> FAIL (ignored) > 
